,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,lastRetainedEarnings,stockRepurchases,otherDistributions,retainedEarnings,grossPPE,annualDepreciation,netPPE,lastGoodwill,acquisitionsAndAdjustments,goodwill
0,AMD,USD,2488,2024-01-30,2024-01-30 16:16:19,2023,FY,667000000,3551000000,-1019000000,1384000000,-2249000000,-1250000000,-580000000,-419000000,2249000000,-3103000000,1667000000,-546000000,-131000000,-3722000000,2987000000,-11000000,-1423000000,0,268000000,-985000000,0,-429000000,-1146000000,0,-902000000,3933000000,4835000000,1667000000,-139000000,1121000000,https://www.sec.gov/Archives/edgar/data/2488/000000248824000009/0000002488-24-000009-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248824000009/q42023991final.htm,56000000.0,-233000000.0,434000000.0,723000000.0,2222000000.0,0.0,2361000000.0,24186000000.0,76000000.0,24262000000.0
1,AMD,USD,2488,2023-02-27,2023-02-27 16:20:39,2022,FY,1320000000,4262000000,-1505000000,1081000000,-1846000000,-1091000000,-1401000000,931000000,-285000000,253000000,3565000000,-450000000,822000000,-2667000000,4310000000,-16000000,1999000000,-312000000,167000000,-4108000000,0,989000000,-3264000000,0,2300000000,4835000000,2535000000,3565000000,-450000000,3115000000,https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/0000002488-23-000047-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/amd-20221231.htm,,,,,,,,,,
2,AMD,USD,2488,2022-02-03,2022-02-03 17:22:50,2021,FY,3162000000,463000000,308000000,379000000,-774000000,-640000000,-556000000,801000000,-379000000,-17000000,3521000000,-301000000,0,-2056000000,1678000000,-7000000,-686000000,-200000000,104000000,-1999000000,-104000000,304000000,-1895000000,0,940000000,2535000000,1595000000,3521000000,-301000000,3220000000,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/0000002488-22-000016-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/amd-20211225.htm,,,,,,,,,,
3,AMD,USD,2488,2021-01-29,2021-01-29 17:24:00,2020,FY,2490000000,354000000,-1223000000,274000000,-931000000,-219000000,-417000000,-513000000,218000000,107000000,1071000000,-294000000,-27000000,-850000000,192000000,27000000,-952000000,-200000000,85000000,-78000000,-85000000,284000000,6000000,0,125000000,1595000000,1470000000,1071000000,-294000000,777000000,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/0001628280-21-001185-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/amd-20201226.htm,,,,,,,,,,
4,AMD,USD,2488,2020-02-04,2020-02-04 17:21:47,2019,FY,341000000,258000000,-4000000,197000000,-542000000,-623000000,-137000000,373000000,-155000000,243000000,493000000,-217000000,0,-284000000,325000000,27000000,-149000000,-403000000,74000000,0,0,372000000,43000000,0,387000000,1470000000,1083000000,493000000,-217000000,276000000,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/0000002488-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/amdform10-kfy2019.htm,,,,,,,,,,
