,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,lastRetainedEarnings,stockRepurchases,otherDistributions,retainedEarnings,grossPPE,annualDepreciation,netPPE,lastGoodwill,acquisitionsAndAdjustments,goodwill
0,META,USD,1326801,2024-02-02,2024-02-01 19:39:02,2023,FY,39098000000,11178000000,131000000,14027000000,-2348000000,-2399000000,0,51000000,2348000000,6679000000,71113000000,-27266000000,0,-2982000000,6184000000,-431000000,-24495000000,-1058000000,0,-19774000000,0,1332000000,-19500000000,113000000,27231000000,42827000000,15596000000,71113000000,-27266000000,43847000000,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/0001326801-24-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/meta-20231231.htm,64799000000,-19774000000,-2503000000,82070000000,109881000000,0,137147000000,20306000000,348000000,20654000000
1,META,USD,1326801,2023-02-02,2023-02-01 20:26:31,2022,FY,23200000000,8686000000,-3286000000,11992000000,5683000000,231000000,0,210000000,5242000000,4200000000,50475000000,-31431000000,-1312000000,-9631000000,13158000000,246000000,-28970000000,-850000000,0,-27956000000,0,6670000000,-22136000000,-638000000,-1269000000,15596000000,16865000000,50475000000,-31431000000,19044000000,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000013/0001326801-23-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000013/meta-20221231.htm,69761000000,-27956000000,-32918000000,64799000000,92191000000,8686000000,114936000000,19197000000,1109000000,20306000000
2,META,USD,1326801,2022-02-03,2022-02-02 21:11:04,2021,FY,39370000000,7967000000,609000000,9164000000,700000000,-3110000000,2187000000,1436000000,187000000,-127000000,57683000000,-18567000000,-898000000,-30407000000,42586000000,-284000000,-7570000000,-677000000,0,-44537000000,0,-5514000000,-50728000000,-474000000,-1089000000,16865000000,17954000000,57683000000,-18567000000,39116000000,https://www.sec.gov/Archives/edgar/data/1326801/000132680122000018/0001326801-22-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680122000018/fb-20211231.htm,77345000000,-44537000000,-52121000000,69761000000,69964000000,7967000000,80564000000,19050000000,147000000,19197000000
3,META,USD,1326801,2021-01-28,2021-01-27 21:13:48,2020,FY,29146000000,6862000000,-1192000000,6536000000,-2723000000,-1512000000,-1302000000,-17000000,108000000,118000000,38747000000,-15115000000,-6749000000,-33930000000,25771000000,-36000000,-30059000000,-604000000,0,-6272000000,0,-3416000000,-10292000000,279000000,-1325000000,17954000000,19279000000,38747000000,-15115000000,23632000000,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000014/0001326801-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000014/fb-20201231.htm,55692000000,-6272000000,15381000000,77345000000,54981000000,6862000000,63234000000,18715000000,335000000,19050000000
4,META,USD,1326801,2020-01-30,2020-01-29 21:12:14,2019,FY,18485000000,5741000000,-37000000,4836000000,7250000000,-1961000000,8975000000,113000000,123000000,39000000,36314000000,-15102000000,-508000000,-23910000000,19717000000,-61000000,-19864000000,-552000000,0,-4202000000,0,-2545000000,-7299000000,4000000,9155000000,19279000000,10124000000,36314000000,-15102000000,21212000000,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000013/0001326801-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000013/fb-12312019x10k.htm,41981000000,-4202000000,9509000000,55692000000,44783000000,5741000000,54144000000,18301000000,414000000,18715000000
