,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,lastRetainedEarnings,stockRepurchases,otherDistributions,retainedEarnings,grossPPE,annualDepreciation,netPPE,lastGoodwill,acquisitionsAndAdjustments,goodwill
0,NVDA,USD,1045810,2023-02-24,2023-02-24 17:23:43,2023,FY,1414000000,1544000000,-2164000000,2709000000,-2207000000,822000000,-2554000000,-551000000,76000000,1391000000,5641000000,-1833000000,-49000000,-11974000000,21231000000,0,7375000000,0,0,-10039000000,-98000000,-1180000000,-11617000000,0,1399000000,3389000000,1990000000,5641000000,-509000000,3808000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/0001045810-23-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/nvda-20230129.htm,9905000000.0,-1212000000.0,-1044000000.0,10171000000.0,4845000000.0,523000000.0,4831000000.0,4372000000.0,0.0,4372000000.0
1,NVDA,USD,1045810,2022-03-18,2022-03-17 20:33:34,2022,FY,9752000000,1174000000,-406000000,2004000000,-3363000000,-2215000000,-774000000,568000000,-942000000,-53000000,9108000000,-976000000,-263000000,-24811000000,16220000000,0,-9830000000,-1000000000,0,0,-399000000,3264000000,1865000000,0,1143000000,1990000000,847000000,9108000000,-976000000,8132000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/0001045810-22-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/nvda-20220130.htm,,,,,,,,,,
2,NVDA,USD,1045810,2021-02-26,2021-02-26 17:03:14,2021,FY,4332000000,1098000000,-282000000,1397000000,-703000000,-550000000,-524000000,363000000,8000000,-20000000,5822000000,-1128000000,-8524000000,-19342000000,9319000000,0,-19675000000,0,0,0,-395000000,4199000000,3804000000,0,-10049000000,847000000,10896000000,5822000000,-1128000000,4694000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/0001045810-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/nvda-20210131.htm,,,,,,,,,,
3,NVDA,USD,1045810,2020-02-20,2020-02-20 16:38:18,2020,FY,2796000000,381000000,18000000,844000000,717000000,-233000000,597000000,194000000,159000000,5000000,4761000000,-489000000,9000000,-1475000000,8109000000,-9000000,6145000000,0,0,-1579000000,-390000000,1177000000,-792000000,0,10114000000,10896000000,782000000,4761000000,-489000000,4272000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/0001045810-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/nvda-2020x10k.htm,,,,,,,,,,
