,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,lastRetainedEarnings,stockRepurchases,otherDistributions,retainedEarnings,grossPPE,annualDepreciation,netPPE,lastGoodwill,acquisitionsAndAdjustments,goodwill
0,ABNB,USD,1559720,2023-02-17,2023-02-17 16:07:04,2022,FY,319000000,81000000,-1000000,930000000,319000000,0,0,20000000,299000000,208000000,3430000000,-25000000,0,-4072000000,4071000000,-2000000,-28000000,0,0,-1500000000,0,811000000,-689000000,-337000000,2376000000,12103000000,9727000000,3430000000,-8394000,3405000000,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/0001559720-23-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/abnb-20221231.htm,-5783403000.0,-500000000.0,-681597000.0,-5965000000.0,259000000.0,12948000.0,254446000.0,646527000.0,3473000.0,650000000.0
1,ABNB,USD,1559720,2022-02-25,2022-02-25 16:09:12,2021,FY,-352034000,138319000,10935000,898830000,637923000,0,0,39946000,597977000,855721000,2189694000,-25322000,0,-4938188000,3611055000,500000,-1351955000,-2207883000,0,0,0,3639042000,1431159000,-209861000,2059037000,9727289000,7668252000,2189694000,-25322000,2164372000,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/0001559720-22-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/abnb-20211231.htm,,,,,,,,,,
2,ABNB,USD,1559720,2021-02-26,2021-02-26 16:19:13,2020,FY,-4584716000,125876000,-19601000,3001948000,-284610000,0,0,-73111000,-211499000,1131371000,-629732000,-37371000,0,-3032664000,3158225000,-8600000,79590000,-5000000,3650870000,0,0,-705056000,2940814000,134137000,2524809000,7668252000,5143443000,-629732000,-37371000,-667103000,https://www.sec.gov/Archives/edgar/data/1559720/000155972021000010/0001559720-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1559720/000155972021000010/airbnb-10k.htm,,,,,,,,,,
3,ABNB,USD,1559720,2019-12-31,2019-12-31 00:00:00,2019,FY,-674339000,114162000,-5627000,97547000,620382000,0,0,75716000,544666000,70602000,222727000,-125452000,-400298000,-1016155000,1161085000,33665000,-347155000,0,0,0,0,854579000,854579000,-25284000,704867000,5143443000,4438576000,222727000,-125452000,97275000,,,,,,,,,,,,
4,ABNB,USD,1559720,2018-12-31,2018-12-30 19:00:00,2018,FY,-16860000,82401000,-5017000,53893000,421029000,0,0,29837000,391192000,60111000,595557000,-90624000,-60150000,-1270578000,756471000,-3290000,-668171000,0,0,0,0,140516000,140516000,-158919000,-91017000,4438576000,4529593000,595557000,-90624000,504933000,,,,,,,,,,,,
