,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,lastRetainedEarnings,stockRepurchases,otherDistributions,retainedEarnings,grossPPE,annualDepreciation,netPPE,lastGoodwill,acquisitionsAndAdjustments,goodwill
0,ADP,USD,8670,2023-08-03,2023-08-03 16:49:01,2023,FY,776700000,549300000,-80100000,220400000,-938700000,129200000,-938700000,-11800000,-117400000,1044700000,4207600000,-571600000,-32400000,-6618800000,4705500000,0,-2517300000,-1000000,1122400000,-1121400000,-517500000,-13777100000,-15680700000,-21100000,-14011500000,8771500000,22783000000,4207600000,-140900000,3636000000,https://www.sec.gov/Archives/edgar/data/8670/000000867023000030/0000008670-23-000030-index.htm,https://www.sec.gov/Archives/edgar/data/8670/000000867023000030/adp-20230630.htm,21857800000.0,-303900000.0,-561200000.0,22118000000.0,1083800000.0,104500000.0,1120200000.0,2335700000.0,3700000.0,2339400000.0
1,ADP,USD,8670,2022-08-03,2022-08-03 14:16:38,2022,FY,2948900000,515100000,36600000,201700000,-1638300000,-486500000,0,-16400000,-1135400000,1035500000,3099500000,-553400000,-11700000,-10733200000,4249700000,34200000,-7014400000,-900000,1970300000,-1969400000,-1659000000,15312400000,13653400000,-98700000,9639800000,22783000000,13143200000,3099500000,-553400000,2546100000,https://www.sec.gov/Archives/edgar/data/8670/000000867022000038/0000008670-22-000038-index.htm,https://www.sec.gov/Archives/edgar/data/8670/000000867022000038/adp-20220630.htm,,,,,,,,,,
2,ADP,USD,8670,2021-08-04,2021-08-04 14:06:37,2021,FY,2598500000,510700000,-251100000,175300000,-937400000,-339800000,0,36900000,-634500000,997300000,3093300000,-505900000,505900000,-9266300000,6238400000,-487100000,-3515000000,-1001800000,2374100000,-1372300000,-1575500000,8013000000,6437500000,73800000,6089600000,13143200000,7053600000,3093300000,-505900000,2587400000,https://www.sec.gov/Archives/edgar/data/8670/000000867021000027/0000008670-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/8670/000000867021000027/adp-20210630.htm,,,,,,,,,,
3,ADP,USD,8670,2020-08-05,2020-08-05 17:28:42,2020,FY,2466500000,480000000,26000000,130800000,-1120000000,-113800000,-77500000,-18300000,-910400000,1042900000,3026200000,-616400000,616400000,-3905100000,7648400000,-587000000,3156300000,-2200000,1008500000,-1006300000,-1470500000,-4420100000,-5890600000,-34500000,257400000,7053600000,6796200000,3026200000,-616400000,2409800000,https://www.sec.gov/Archives/edgar/data/8670/000000867020000032/0000008670-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/8670/000000867020000032/adp-20200630.htm,,,,,,,,,,
4,ADP,USD,8670,2019-08-09,2019-08-09 16:04:22,2019,FY,2292800000,409000000,9300000,167300000,-1205800000,-473900000,266000000,-10700000,-987200000,1015700000,2688300000,-566500000,-125500000,-4422600000,2909000000,7900000,-2197700000,-2100000,939800000,-937700000,-1293000000,1085300000,-207700000,-28800000,254100000,6796200000,6542100000,2688300000,-566500000,2121800000,https://www.sec.gov/Archives/edgar/data/8670/000000867019000021/0000008670-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/8670/000000867019000021/q4fy1910k.htm,,,,,,,,,,
