,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,lastRetainedEarnings,stockRepurchases,otherDistributions,retainedEarnings,grossPPE,annualDepreciation,netPPE,lastGoodwill,acquisitionsAndAdjustments,goodwill
0,TSLA,USD,1318605,2024-01-29,2024-01-26 21:00:20,2023,FY,7930000000,4667000000,0,1812000000,-1781000000,-586000000,-1195000000,0,0,-6408000000,13256000000,-8899000000,0,0,0,-6685000000,-15584000000,-1815000000,0,0,0,4404000000,2589000000,4000000,265000000,17189000000,16924000000,13256000000,-2307000000,4357000000,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/0001628280-24-002390-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/tsla-20231231.htm,19954000000.0,0.0,7928000000.0,27882000000.0,45123000000.0,1232000000.0,46198000000.0,250000000.0,3000000.0,253000000.0
1,TSLA,USD,1318605,2023-01-31,2023-01-30 21:29:15,2022,FY,12587000000,3747000000,0,1560000000,-3908000000,-1124000000,-6465000000,6029000000,-2348000000,738000000,14724000000,-7172000000,0,-5835000000,22000000,1012000000,-11973000000,-3866000000,541000000,0,0,-202000000,-3527000000,-444000000,-1220000000,16924000000,18144000000,14724000000,-7172000000,7552000000,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/0000950170-23-001409-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/tsla-20221231.htm,,,,,,,,,,
2,TSLA,USD,1318605,2022-02-07,2022-02-04 20:11:27,2021,FY,5644000000,2911000000,58000000,2121000000,518000000,-130000000,-1709000000,1378000000,979000000,245000000,11497000000,-8014000000,0,-132000000,0,278000000,-7868000000,-14615000000,0,0,0,9412000000,-5203000000,-183000000,-1757000000,18144000000,19901000000,11497000000,-8014000000,3483000000,https://www.sec.gov/Archives/edgar/data/1318605/000095017022000796/0000950170-22-000796-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017022000796/tsla-20211231.htm,,,,,,,,,,
3,TSLA,USD,1318605,2021-02-08,2021-02-08 07:27:23,2020,FY,862000000,2322000000,433000000,1734000000,184000000,-652000000,-422000000,930000000,328000000,408000000,5943000000,-3242000000,-13000000,0,0,123000000,-3132000000,-12201000000,12269000000,0,0,9905000000,9973000000,334000000,13118000000,19901000000,6783000000,5943000000,-3242000000,2701000000,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/0001564590-21-004599-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/tsla-10k_20201231.htm,,,,,,,,,,
4,TSLA,USD,1318605,2020-02-13,2020-02-13 07:12:18,2019,FY,-775000000,2154000000,0,898000000,-349000000,-367000000,-429000000,-296000000,743000000,477000000,2405000000,-1437000000,-45000000,0,0,46000000,-1436000000,-389000000,848000000,0,0,1070000000,1529000000,8000000,2506000000,6783000000,4277000000,2405000000,-1437000000,968000000,https://www.sec.gov/Archives/edgar/data/1318605/000156459020004475/0001564590-20-004475-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459020004475/tsla-10k_20191231.htm,,,,,,,,,,
