,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,lastRetainedEarnings,stockRepurchases,otherDistributions,retainedEarnings,grossPPE,annualDepreciation,netPPE,lastGoodwill,acquisitionsAndAdjustments,goodwill
0,QCOM,USD,804328,2023-11-01,2023-11-01 16:10:50,2023,FY,1489000000,1809000000,-1269000000,2484000000,1148000000,2472000000,8000000,-1880000000,548000000,-212000000,11299000000,-1450000000,-235000000,-668000000,1586000000,1529000000,762000000,-7012000000,434000000,-2973000000,-893000000,6350000000,-6663000000,30000000,5428000000,8527000000,3099000000,11299000000,-293000000,9849000000,https://www.sec.gov/Archives/edgar/data/804328/000080432823000055/0000804328-23-000055-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000080432823000055/qcom-20230924.htm,20163000000.0,-400000000.0,-723000000.0,20733000000.0,5042000000.0,462000000.0,4873000000.0,10591000000.0,51000000.0,10642000000.0
1,QCOM,USD,804328,2022-11-02,2022-11-02 16:04:10,2022,FY,12986000000,1762000000,-138000000,2031000000,-7800000000,-2066000000,-3137000000,1036000000,-3633000000,255000000,9096000000,-2262000000,-4912000000,-1414000000,2754000000,30000000,-5804000000,-8892000000,356000000,-3129000000,-3212000000,7681000000,-7196000000,-113000000,-4017000000,3099000000,7116000000,9096000000,-2262000000,6834000000,https://www.sec.gov/Archives/edgar/data/804328/000080432822000021/0000804328-22-000021-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000080432822000021/qcom-20220925.htm,,,,,,,,,,
2,QCOM,USD,804328,2021-11-03,2021-11-03 16:06:41,2021,FY,9043000000,1582000000,-245000000,1663000000,-461000000,426000000,-622000000,495000000,-760000000,-1046000000,10536000000,-1888000000,-1377000000,-5907000000,5875000000,-59000000,-3356000000,-2885000000,347000000,-3366000000,-3008000000,2114000000,-6798000000,27000000,409000000,7116000000,6707000000,10536000000,-1888000000,8648000000,https://www.sec.gov/Archives/edgar/data/804328/000172894921000076/0001728949-21-000076-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000172894921000076/qcom-20210926.htm,,,,,,,,,,
3,QCOM,USD,804328,2020-11-04,2020-11-04 17:19:44,2020,FY,5198000000,1393000000,-309000000,1212000000,-1607000000,-1529000000,-1157000000,907000000,172000000,-73000000,5814000000,-1407000000,-185000000,-6213000000,2499000000,43000000,-5263000000,-5065000000,329000000,-2450000000,-2882000000,4361000000,-5707000000,24000000,-5132000000,6707000000,11839000000,5814000000,-1407000000,4407000000,https://www.sec.gov/Archives/edgar/data/804328/000172894920000067/0001728949-20-000067-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000172894920000067/qcom-20200927.htm,,,,,,,,,,
4,QCOM,USD,804328,2019-11-06,2019-11-06 16:08:43,2019,FY,4386000000,1401000000,1976000000,1037000000,-1224000000,1373000000,273000000,-443000000,-2427000000,-290000000,7286000000,-887000000,-252000000,887000000,207000000,-761000000,-806000000,-6492000000,414000000,-1793000000,-2968000000,4453000000,-6386000000,-32000000,62000000,11839000000,11777000000,7286000000,-887000000,6399000000,https://www.sec.gov/Archives/edgar/data/804328/000172894919000072/0001728949-19-000072-index.htm,https://www.sec.gov/Archives/edgar/data/804328/000172894919000072/qcom10-k2019.htm,,,,,,,,,,
