,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,lastRetainedEarnings,stockRepurchases,otherDistributions,retainedEarnings,grossPPE,annualDepreciation,netPPE,lastGoodwill,acquisitionsAndAdjustments,goodwill
0,NFLX,USD,1065280,2024-01-23,2024-01-23 16:02:17,2023,FY,937838000,14554384000,-459359000,339368000,-116148000,0,0,93502000,-132212000,-12628230000,7274301000,-348552000,0,-504862000,1395165000,0,541751000,0,169990000,-6045347000,0,-75446000,-5950803000,82684000,1947933000,7118515000,5170582000,7274301000,-81632000,6925749000,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000029/0001065280-24-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000029/ex991_q423.htm,21651448000.0,-2500000000.0,-1562162000.0,22589286000.0,1491444000.0,3840646000.0,-2267570000.0,0.0,0.0,0.0
1,NFLX,USD,1065280,2023-01-26,2023-01-26 16:03:50,2022,FY,4491924000,14362814000,-166550000,575452000,-758087000,0,0,-158543000,-599544000,-16479296000,2026257000,-407729000,-757387000,-911276000,757387000,-757387000,-2076392000,-700000000,35746000,0,0,0,-664254000,-170140000,-884529000,5170582000,6055111000,2026257000,-407729000,1618528000,https://www.sec.gov/Archives/edgar/data/1065280/000106528023000035/0001065280-23-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528023000035/nflx-20221231.htm,,,,,,,,,,
2,NFLX,USD,1065280,2022-01-27,2022-01-27 17:03:33,2021,FY,5116228000,12438779000,199548000,403220000,-241977000,0,0,145115000,-387092000,-17523188000,392610000,-524585000,-788349000,0,0,-26919000,-1339853000,-500000000,174414000,-600022000,0,-224168000,-1149776000,-86740000,-2183759000,6055111000,8238870000,392610000,-524585000,-131975000,https://www.sec.gov/Archives/edgar/data/1065280/000106528022000036/0001065280-22-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528022000036/nflx-20211231.htm,,,,,,,,,,
3,NFLX,USD,1065280,2021-01-28,2021-01-28 16:21:59,2020,FY,2761395000,10922622000,70066000,415180000,-31873000,0,0,-41605000,9732000,-11710313000,2427077000,-497923000,0,0,0,-7431000,-505354000,0,235406000,0,0,1001905000,1237311000,36050000,3195084000,8238870000,5043786000,2427077000,-497923000,1929154000,https://www.sec.gov/Archives/edgar/data/1065280/000106528021000040/0001065280-21-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528021000040/nflx-20201231.htm,,,,,,,,,,
4,NFLX,USD,1065280,2020-01-29,2020-01-29 16:03:25,2019,FY,1866916000,9319826000,-94443000,405376000,43043000,0,0,96063000,-53020000,-14428040000,-2887322000,-253035000,0,0,0,-134029000,-387064000,0,72490000,0,0,4433172000,4505662000,469000,1231745000,5043786000,3812041000,-2887322000,-253035000,-3140357000,https://www.sec.gov/Archives/edgar/data/1065280/000106528020000040/0001065280-20-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528020000040/form10kq419.htm,,,,,,,,,,
