,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,lastRetainedEarnings,stockRepurchases,otherDistributions,retainedEarnings,grossPPE,annualDepreciation,netPPE,lastGoodwill,acquisitionsAndAdjustments,goodwill
0,GOOG,USD,1652044,2024-01-30,2024-01-30 16:01:26,2023,FY,20687000000,11946000000,-7763000000,22460000000,-7169000000,-7833000000,0,664000000,7169000000,1308000000,101746000000,-32251000000,-495000000,-80885000000,87619000000,-1051000000,-27063000000,0,0,0,0,-72093000000,-72093000000,-421000000,2169000000,24048000000,21879000000,101746000000,-11019000000,69495000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000014/0001652044-24-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000014/googexhibit991q42023.htm,205647000000.0,0.0,5600000000.0,211247000000.0,148436000000.0,1563000000.0,157892000000.0,29146000000.0,52000000.0,29198000000.0
1,GOOG,USD,1652044,2023-02-03,2023-02-02 21:23:45,2022,FY,59972000000,15928000000,-8081000000,19362000000,-2235000000,-2317000000,0,707000000,-625000000,6549000000,91495000000,-31485000000,-6969000000,-81405000000,97972000000,1589000000,-20298000000,-54068000000,0,-59296000000,0,43607000000,-69757000000,-506000000,934000000,21879000000,20945000000,91495000000,-31485000000,60010000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/0001652044-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm,,,,,,,,,,
2,GOOG,USD,1652044,2022-02-02,2022-02-01 21:08:02,2021,FY,76033000000,12441000000,1808000000,15376000000,-1523000000,-9095000000,7140000000,283000000,149000000,-12483000000,91652000000,-24640000000,-2618000000,-138034000000,129228000000,541000000,-35523000000,-21435000000,0,-50274000000,0,10347000000,-61362000000,-287000000,-5520000000,20945000000,26465000000,91652000000,-24640000000,67012000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/0001652044-22-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/goog-20211231.htm,,,,,,,,,,
3,GOOG,USD,1652044,2021-02-03,2021-02-02 20:12:25,2020,FY,40269000000,13697000000,1390000000,12991000000,1827000000,-6524000000,5813000000,694000000,1844000000,-5050000000,65124000000,-22281000000,-738000000,-143751000000,133929000000,68000000,-32773000000,-2100000000,0,-31149000000,0,8841000000,-24408000000,24000000,7967000000,26465000000,18498000000,65124000000,-22281000000,42843000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000010/0001652044-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000010/goog-20201231.htm,,,,,,,,,,
4,GOOG,USD,1652044,2020-02-04,2020-02-03 21:03:59,2019,FY,34343000000,11781000000,173000000,10794000000,819000000,-4340000000,7822000000,428000000,-3091000000,-3390000000,54520000000,-23548000000,-2515000000,-102247000000,98230000000,589000000,-29491000000,-585000000,0,-18396000000,0,-4228000000,-23209000000,-23000000,1797000000,18498000000,16701000000,54520000000,-23548000000,30972000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/0001652044-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/goog10-k2019.htm,,,,,,,,,,
