,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,lastRetainedEarnings,stockRepurchases,otherDistributions,retainedEarnings,grossPPE,annualDepreciation,netPPE,lastGoodwill,acquisitionsAndAdjustments,goodwill
0,INTC,USD,50863,2024-01-25,2024-01-25 16:07:43,2023,FY,2669000000,9602000000,0,3229000000,2027000000,731000000,2097000000,-801000000,-2027000000,-3035000000,11471000000,-25750000000,0,-44813000000,44549000000,1973000000,-24041000000,-96000000,1042000000,0,0,10647000000,8505000000,0,-4065000000,7079000000,11144000000,11471000000,-5929000000,-14279000000,https://www.sec.gov/Archives/edgar/data/50863/000005086324000008/0000050863-24-000008-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086324000008/q423_earningsrelease.htm,67021000000.0,0.0,2135000000.0,69156000000.0,96647000000.0,0.0,102576000000.0,27591000000.0,0.0,27591000000.0
1,INTC,USD,50863,2023-01-27,2023-01-26 18:31:20,2022,FY,8017000000,13035000000,0,3128000000,-4508000000,5327000000,-2436000000,-29000000,-7370000000,-4239000000,15433000000,-25050000000,6579000000,-44157000000,53691000000,-1540000000,-10477000000,-5329000000,1032000000,0,-5997000000,11655000000,1361000000,0,6317000000,11144000000,4827000000,15433000000,-25050000000,-9617000000,https://www.sec.gov/Archives/edgar/data/50863/000005086323000006/0000050863-23-000006-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086323000006/intc-20221231.htm,,,,,,,,,,
2,INTC,USD,50863,2022-01-27,2022-01-26 18:34:53,2021,FY,19868000000,11792000000,-1458000000,2036000000,-4873000000,-2674000000,-2339000000,1190000000,-1050000000,2626000000,29991000000,-20329000000,-209000000,-41167000000,35880000000,658000000,-25167000000,-2500000000,5994000000,-2415000000,-5644000000,-1297000000,-5862000000,0,-1038000000,4827000000,5865000000,29991000000,-20329000000,9662000000,https://www.sec.gov/Archives/edgar/data/50863/000005086322000007/0000050863-22-000007-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086322000007/intc-20211225.htm,,,,,,,,,,
3,INTC,USD,50863,2021-01-22,2021-01-21 19:06:04,2020,FY,20899000000,12239000000,0,1854000000,2179000000,883000000,-687000000,412000000,1571000000,-1787000000,35384000000,-14453000000,-714000000,-29959000000,23068000000,1262000000,-20796000000,-4525000000,11144000000,-14229000000,-5568000000,261000000,-12917000000,0,1671000000,5865000000,4194000000,35384000000,-14453000000,20931000000,https://www.sec.gov/Archives/edgar/data/50863/000005086321000010/0000050863-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086321000010/intc-20201226.htm,,,,,,,,,,
4,INTC,USD,50863,2020-01-24,2020-01-23 18:39:55,2019,FY,21048000000,10826000000,0,1705000000,1148000000,-935000000,-1481000000,696000000,2868000000,-1582000000,33145000000,-16213000000,-1047000000,-11952000000,14092000000,715000000,-14405000000,-2627000000,4142000000,-13576000000,-5576000000,72000000,-17565000000,0,1175000000,4194000000,3019000000,33145000000,-16213000000,16932000000,https://www.sec.gov/Archives/edgar/data/50863/000005086320000011/0000050863-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086320000011/a12282019q4-10kdocument.htm,,,,,,,,,,
