,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,lastRetainedEarnings,stockRepurchases,otherDistributions,retainedEarnings,grossPPE,annualDepreciation,netPPE,lastGoodwill,acquisitionsAndAdjustments,goodwill
0,AMZN,USD,1018724,2024-02-02,2024-02-01 18:48:30,2023,FY,10624000000,48663000000,-5876000000,24023000000,-11541000000,-8348000000,1449000000,5473000000,-10115000000,-748000000,84946000000,-52729000000,-5839000000,-1488000000,5627000000,4596000000,-49833000000,-33737000000,0,0,0,17858000000,-15879000000,403000000,19637000000,73890000000,54253000000,84946000000,-14588000000,32217000000,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/0001018724-24-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm,102994000000.0,0.0,10624000000.0,113618000000.0,276690000000.0,13820000000.0,277458000000.0,22749000000.0,40000000.0,22789000000.0
1,AMZN,USD,1018724,2023-02-03,2023-02-02 18:27:34,2022,FY,-2722000000,41921000000,-8148000000,19621000000,-20886000000,-21897000000,-2592000000,2945000000,658000000,16966000000,46752000000,-63645000000,-8316000000,-2565000000,31601000000,5324000000,-37601000000,-47001000000,0,-6000000000,0,62719000000,9718000000,-1093000000,17776000000,54253000000,36477000000,46752000000,-63645000000,-16893000000,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/0001018724-23-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000004/amzn-20221231.htm,,,,,,,,,,
2,AMZN,USD,1018724,2022-02-04,2022-02-03 18:46:51,2021,FY,33364000000,34296000000,-310000000,12757000000,-19611000000,-18163000000,-9487000000,3602000000,4437000000,-14169000000,46327000000,-61053000000,-1985000000,-60157000000,59384000000,5657000000,-58154000000,-20668000000,0,0,0,26959000000,6291000000,-364000000,-5900000000,36477000000,42377000000,46327000000,-61053000000,-14726000000,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000005/0001018724-22-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000005/amzn-20211231.htm,,,,,,,,,,
3,AMZN,USD,1018724,2021-02-03,2021-02-02 19:44:10,2020,FY,21331000000,25251000000,-554000000,9208000000,13481000000,-8169000000,-2849000000,17480000000,7019000000,-2653000000,66064000000,-40140000000,-2325000000,-72479000000,50237000000,5096000000,-59611000000,-18425000000,0,0,0,17321000000,-1104000000,618000000,5967000000,42377000000,36410000000,66064000000,-40140000000,25924000000,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000004/0001018724-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000004/amzn-20201231.htm,,,,,,,,,,
4,AMZN,USD,1018724,2020-01-31,2020-01-30 20:46:13,2019,FY,11588000000,21789000000,796000000,6864000000,-2438000000,-7681000000,-3278000000,8193000000,328000000,-85000000,38514000000,-16861000000,-2461000000,-31812000000,22681000000,4172000000,-24281000000,-12339000000,0,0,0,2273000000,-10066000000,70000000,4237000000,36410000000,32173000000,38514000000,-16861000000,21653000000,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000004/0001018724-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000004/amzn-20191231x10k.htm,,,,,,,,,,
