calendarYear,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,weightedAverageShsOutDil,dividendsPaid
2023,574785000000.0,304739000000.0,270046000000.0,0.4698208895500056,85622000000,0,146805000000.0,0,232427000000.0,537166000000.0,2949000000,3182000000,48663000000,86282000000,0.1501117809267813,37619000000,-3011000000,37557000000,0.065340954,7120000000,10624000000,0.052932836,10492000000,0.0
2022,513983000000.0,288831000000.0,225152000000.0,0.438053399,73213000000,42238000000,138428000000.0,-16806000000,229713000000.0,518544000000.0,989000000,2367000000,41921000000,54169000000,0.105390645,12248000000,-18187000000,-5939000000,-0.011554857,3217000000,-2722000000,-0.005295895,10189000000,
2021,469822000000.0,272344000000.0,197478000000.0,0.420325144,56052000000,32551000000,116485000000.0,14633000000,157962000000.0,430306000000.0,448000000,1809000000,34433000000,59312000000,0.126243556,24879000000,13276000000,38155000000,0.081211608,4791000000,33364000000,0.071014129,10296000000,
2020,386064000000.0,233307000000.0,152757000000.0,0.395677919,42740000000,22008000000,87193000000.0,2371000000,127471000000.0,360778000000.0,555000000,1647000000,25180000000,48079000000,0.124536346,22899000000,1295000000,24194000000,0.062668366,2863000000,21331000000,0.055252497,10198000000,
2019,280522000000.0,165536000000.0,114986000000.0,0.409900115,35931000000,18878000000,64313000000.0,203000000,100256000000.0,265792000000.0,832000000,1600000000,21789000000,36330000000,0.129508559,14541000000,-579000000,13962000000,0.049771497,2374000000,11588000000,0.041308703,10080000000,
