calendarYear,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,totalStockholdersEquity,totalEquity,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,netIncome,dividendsPaid,capitalExpenditure,netPPE,acquisitionsAndAdjustments
2023,7079000000,17955000000,25034000000,3402000000,11127000000,3706000000,43269000000,96647000000,27591000000,4589000000,32180000000,5829000000,0,13647000000,148303000000,0,191572000000,8578000000,2288000000,1107000000,1107000000,17187000000,28053000000,46978000000,0,0,10951000000,57929000000,0,0,85982000000,0,0,69156000000,105590000000,109965000000,191572000000,23784000000,49266000000,42187000000,2669000000.0,0.0,-5929000000.0,102576000000.0,0.0
2022,11144000000,17194000000,28338000000,4133000000,13224000000,4667000000,50407000000,80860000000,27591000000,6018000000,33609000000,5912000000,0,11315000000,131696000000,0,182103000000,9595000000,4367000000,2251000000,0,18193000000,32155000000,37684000000,0,202000000,8776000000,46662000000,0,0,78817000000,0,31580000000,70405000000,101423000000,103286000000,182103000000,23106000000,42051000000,30907000000,,,,,
2021,4827000000,23586000000,28413000000,9457000000,10776000000,2130000000,57718000000,63245000000,26963000000,7270000000,34233000000,7138000000,0,6072000000,110688000000,0,168406000000,5747000000,4591000000,0,0,17124000000,27462000000,33510000000,185000000,2667000000,9191000000,45553000000,0,0,73015000000,0,28006000000,68265000000,95391000000,95391000000,168406000000,30724000000,38101000000,33274000000,,,,,
2020,5865000000,18030000000,23895000000,6782000000,8427000000,2745000000,47249000000,56584000000,26971000000,9026000000,35997000000,7344000000,1232000000,4685000000,105842000000,0,153091000000,5581000000,2504000000,4578000000,0,16669000000,24754000000,33897000000,1367000000,3843000000,8192000000,47299000000,0,0,72053000000,0,25556000000,56233000000,81038000000,81038000000,153091000000,25374000000,36401000000,30536000000,,,,,
2019,4194000000,8929000000,13123000000,7659000000,8744000000,1713000000,31239000000,55386000000,26276000000,10827000000,37103000000,7243000000,1209000000,4344000000,105285000000,0,136524000000,4128000000,3693000000,4919000000,0,14489000000,22310000000,25308000000,1368000000,2044000000,7990000000,36710000000,0,0,59020000000,0,25261000000,53523000000,77504000000,77504000000,136524000000,16172000000,29001000000,24807000000,,,,,
