calendarYear,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,totalStockholdersEquity,totalEquity,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,netIncome,dividendsPaid,capitalExpenditure,netPPE,acquisitionsAndAdjustments
2023,3389000000,9907000000,13296000000,3827000000,5159000000,791000000,23073000000,4845000000,4372000000,1676000000,6048000000,299000000,3396000000,3521000000,18109000000,0,41182000000,1193000000,1250000000,467000000,354000000,3766000000,6563000000,10605000000,218000000,247000000,1448000000,12518000000,0,902000000,19081000000,0,2000000,10171000000,22101000000,22101000000,41182000000,10206000000,11855000000,8466000000,1414000000.0,-98000000.0,-509000000.0,4831000000.0,0.0
2022,1990000000,19218000000,21208000000,4650000000,2605000000,366000000,28829000000,3607000000,4349000000,2339000000,6688000000,266000000,1222000000,3575000000,15358000000,0,44187000000,1783000000,0,0,300000000,2252000000,4335000000,11687000000,202000000,245000000,1106000000,13240000000,0,741000000,17575000000,0,3000000,16235000000,26612000000,26612000000,44187000000,19484000000,11687000000,9697000000,,,,,
2021,847000000,10714000000,11561000000,2429000000,1826000000,239000000,16055000000,2856000000,4193000000,2737000000,6930000000,144000000,806000000,2000000000,12736000000,0,28791000000,1201000000,999000000,61000000,288000000,1437000000,3925000000,6598000000,163000000,241000000,971000000,7973000000,0,634000000,11898000000,0,1000000,18908000000,16893000000,16893000000,28791000000,10858000000,7597000000,6750000000,,,,,
2020,10896000000,1000000,10897000000,1657000000,979000000,157000000,13690000000,2292000000,618000000,49000000,667000000,0,548000000,118000000,3625000000,0,17315000000,687000000,91000000,61000000,141000000,865000000,1784000000,2552000000,60000000,29000000,686000000,3327000000,0,561000000,5111000000,0,1000000,14971000000,12204000000,12204000000,17315000000,1000000,2552000000,-8344000000,,,,,
