calendarYear,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,totalStockholdersEquity,totalEquity,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,netIncome,dividendsPaid,capitalExpenditure,netPPE,acquisitionsAndAdjustments
2023,24048000000,86868000000,110916000000,47964000000,0,12650000000,171530000000,148436000000,29198000000,0,29198000000,31008000000,12169000000,10051000000,230862000000,0,402392000000,7493000000,8474000000,8474000000,4137000000,70184000000,81814000000,25713000000,911000000,485000000,10090000000,37199000000,0,12460000000,119013000000,0,0,211247000000,283379000000,283379000000,402392000000,117876000000,25713000000,1665000000,20687000000.0,0.0,-11019000000.0,157892000000.0,52000000.0
2022,21879000000,91883000000,113762000000,40258000000,2670000000,8105000000,164795000000,127049000000,28960000000,2084000000,31044000000,30492000000,5261000000,6623000000,200469000000,0,365264000000,5128000000,2477000000,9258000000,3908000000,57787000000,69300000000,27202000000,599000000,514000000,11505000000,39820000000,0,12501000000,109120000000,0,68184000000,195563000000,256144000000,256144000000,365264000000,122375000000,29679000000,7800000000,,,,,
2021,20945000000,118704000000,139649000000,40270000000,1170000000,7054000000,188143000000,110558000000,22956000000,1417000000,24373000000,29549000000,1284000000,5361000000,171125000000,0,359268000000,6037000000,2189000000,808000000,3288000000,52740000000,64254000000,26206000000,535000000,5257000000,11381000000,43379000000,0,11389000000,107633000000,0,61774000000,191484000000,251635000000,251635000000,359268000000,148253000000,26206000000,5261000000,,,,,
2020,26465000000,110229000000,136694000000,31384000000,728000000,5490000000,174296000000,96960000000,21175000000,1445000000,22620000000,20703000000,1084000000,3953000000,145320000000,0,319616000000,5589000000,1694000000,1485000000,2543000000,47008000000,56834000000,25078000000,481000000,3561000000,11118000000,40238000000,0,11146000000,97072000000,0,58510000000,163401000000,222544000000,222544000000,319616000000,130932000000,25078000000,-1387000000,,,,,
2019,18498000000,101177000000,119675000000,27492000000,999000000,4412000000,152578000000,84587000000,20624000000,1979000000,22603000000,13078000000,721000000,2342000000,123331000000,0,275909000000,5561000000,1199000000,274000000,1908000000,36553000000,45221000000,14768000000,358000000,1701000000,12419000000,29246000000,0,10214000000,74467000000,0,50552000000,152122000000,201442000000,201442000000,275909000000,114255000000,14768000000,-3730000000,,,,,
