calendarYear,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,totalStockholdersEquity,totalEquity,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,netIncome,dividendsPaid,capitalExpenditure,netPPE,acquisitionsAndAdjustments
2023,7116913000,20973000,7137886000,1842054000,0,529257000,9918133000,1491444000,0,31658056000,31658056000,0,0,5664359000,38813859000,0,48731992000,747412000,399844000,0,1442969000,6270430000,8860655000,14143417000,0,0,5139607000,19283024000,0,0,28143679000,0,5145172000,22589286000,20588313000,20588313000,48731992000,20973000,14543261000,7426348000,937838000.0,0.0,-81632000.0,-2267570000.0,0.0
2022,5147176000,911276000,6058452000,1586898000,-1586898000,3208021000,9266473000,1398257000,0,32736713000,32736713000,0,0,5193325000,39328295000,0,48594768000,671513000,0,0,1264661000,5994800000,7930974000,14353076000,0,0,5533317000,19886393000,0,0,27817367000,0,4637601000,17181296000,20777401000,20777401000,48594768000,911276000,14353076000,9205900000,,,,,
2021,6027804000,0,6027804000,804320000,-804320000,2042021000,8069825000,1323453000,0,30919539000,30919539000,0,0,4271846000,36514838000,0,44584663000,837483000,699823000,0,1209342000,5742318000,8488966000,14693072000,0,0,5553377000,20246449000,0,0,28735415000,0,4024561000,12689372000,15849248000,15849248000,44584663000,0,15392895000,9365091000,,,,,
2020,8205550000,0,8205550000,610819000,-610819000,1556030000,9761580000,960183000,0,25383950000,25383950000,0,0,3174646000,29518779000,0,39280359000,656183000,499878000,0,1117992000,5531732000,7805785000,15809095000,0,0,4600239000,20409334000,0,0,28215119000,0,3447698000,7573144000,11065240000,11065240000,39280359000,0,16308973000,8103423000,,,,,
2019,5018437000,0,5018437000,979068000,-979068000,1160067000,6178504000,565221000,0,24504567000,24504567000,0,0,2727420000,27797208000,0,33975712000,674347000,843043000,0,924745000,4413561000,6855696000,14759260000,0,0,4778599000,19537859000,0,0,26393555000,0,2793929000,4811749000,7582157000,7582157000,33975712000,0,14759260000,9740823000,,,,,
