calendarYear,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,totalStockholdersEquity,totalEquity,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,netIncome,dividendsPaid,capitalExpenditure,netPPE,acquisitionsAndAdjustments
2023,9081000000,4976000000,14057000000,46000000000,3000000,2509000000,62569000000,1488000000,11026000000,537000000,11563000000,3273000000,0,3273000000,19597000000,0,82166000000,42074000000,0,0,0,6392000000,48466000000,9676000000,0,0,2973000000,12649000000,0,0,61115000000,0,0,23200000000,21051000000,21051000000,82166000000,8252000000,9676000000,595000000,1402000000.0,-699000000.0,-145000000.0,1370000000.0,91000000.0
2022,7776000000,3075000000,10851000000,44751000000,17000000,1898000000,57517000000,1730000000,11209000000,788000000,11997000000,5018000000,0,2455000000,21200000000,0,78717000000,40233000000,0,813000000,0,4868000000,45101000000,10417000000,0,2925000000,0,13342000000,0,0,58443000000,0,0,18954000000,20274000000,20274000000,78717000000,8093000000,10417000000,2641000000,,,,,
2021,5197000000,4303000000,9500000000,41787000000,0,1287000000,52574000000,1909000000,11454000000,1332000000,12786000000,6797000000,0,1737000000,23229000000,0,75803000000,39038000000,999000000,236000000,0,2992000000,43029000000,8049000000,0,2998000000,0,11047000000,0,0,54076000000,0,0,16535000000,21727000000,21727000000,75803000000,11100000000,9048000000,3851000000,,,,,
2020,4794000000,8289000000,13083000000,36764000000,0,1148000000,50995000000,1807000000,9135000000,1048000000,10183000000,6089000000,0,1305000000,19384000000,0,70379000000,35670000000,0,129000000,0,2777000000,38447000000,8939000000,0,2930000000,0,11869000000,0,0,50316000000,0,0,12366000000,20019000000,20063000000,70379000000,14378000000,8939000000,4145000000,,,,,
2019,7349000000,3412000000,10761000000,26934000000,0,800000000,38495000000,1693000000,6212000000,778000000,6990000000,2863000000,0,1292000000,12838000000,0,51333000000,24759000000,0,73000000,0,2160000000,26919000000,4965000000,0,2520000000,0,7485000000,0,0,34404000000,0,0,8342000000,16885000000,16929000000,51333000000,6275000000,4965000000,-2384000000,,,,,
