calendarYear,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,totalStockholdersEquity,totalEquity,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,netIncome,dividendsPaid,capitalExpenditure,netPPE,acquisitionsAndAdjustments
2023,41862000000,23541000000,65403000000,16169000000,0,3793000000,85365000000,109881000000,20654000000,788000000,21442000000,6141000000,0,6794000000,144258000000,0,229623000000,4849000000,1623000000,0,0,25488000000,31960000000,35611000000,0,0,8884000000,44495000000,0,18849000000,76455000000,0,0,82070000000,153168000000,153168000000,229623000000,29682000000,37234000000,-4628000000,39098000000,0,-27266000000,137147000000,348000000
2022,14681000000,26057000000,40738000000,13466000000,0,5345000000,59549000000,92191000000,20306000000,897000000,21203000000,6201000000,0,6583000000,126178000000,0,185727000000,4990000000,1367000000,2339000000,15763000000,4906000000,27026000000,25224000000,0,0,7764000000,32988000000,0,16668000000,60014000000,0,64444000000,64799000000,125713000000,125713000000,185727000000,32258000000,26591000000,11910000000,23200000000,0,-31431000000,114936000000,1109000000
2021,16601000000,31397000000,47998000000,14039000000,0,4629000000,66666000000,69964000000,19197000000,634000000,19831000000,6775000000,0,2751000000,99321000000,0,165987000000,4083000000,1127000000,1256000000,561000000,15364000000,21135000000,12746000000,0,0,7227000000,19973000000,0,13873000000,41108000000,0,55811000000,69761000000,124879000000,124879000000,165987000000,38172000000,13873000000,-2728000000,39370000000,0,-18567000000,80564000000,147000000
2020,17576000000,44378000000,61954000000,11335000000,0,2381000000,75670000000,54981000000,19050000000,623000000,19673000000,6234000000,0,2758000000,83646000000,0,159316000000,1331000000,1023000000,2038000000,382000000,12245000000,14981000000,9631000000,0,0,6414000000,16045000000,0,10654000000,31026000000,0,50018000000,77345000000,128290000000,128290000000,159316000000,50612000000,10654000000,-6922000000,29146000000,0,-15115000000,63234000000,335000000
2019,19079000000,35776000000,54855000000,9518000000,0,1852000000,66225000000,44783000000,18715000000,894000000,19609000000,0,0,2759000000,67151000000,0,133376000000,1363000000,800000000,624000000,269000000,12621000000,15053000000,9524000000,-1039000000,1039000000,7745000000,17269000000,0,10324000000,32322000000,0,45851000000,55692000000,101054000000,101054000000,133376000000,35776000000,10324000000,-8755000000,18485000000,0,-15102000000,54144000000,414000000
