calendarYear,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,totalStockholdersEquity,totalEquity,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,netIncome,dividendsPaid,capitalExpenditure,netPPE,acquisitionsAndAdjustments
2023,8450000000,2874000000,11324000000,3183000000,6422000000,1194000000,22464000000,5042000000,10642000000,1408000000,12050000000,0,3310000000,8174000000,28576000000,0,51040000000,1912000000,914000000,1717000000,293000000,6509000000,9628000000,14484000000,99000000,1118000000,4130000000,19831000000,0,0,29459000000,0,490000000,20733000000,21581000000,21581000000,51040000000,2874000000,15398000000,6948000000,1489000000.0,-893000000.0,-293000000.0,4873000000.0,51000000.0
2022,2773000000,3609000000,6382000000,5643000000,6341000000,1625000000,20724000000,5168000000,10508000000,1882000000,12390000000,0,1803000000,8929000000,28290000000,0,49014000000,3796000000,1945000000,634000000,369000000,5756000000,11866000000,13537000000,144000000,0,5454000000,19135000000,0,0,31001000000,0,195000000,17840000000,18013000000,18013000000,49014000000,3609000000,15482000000,12709000000,,,,,
2021,7116000000,5298000000,12414000000,3579000000,3228000000,854000000,20075000000,4559000000,7246000000,1458000000,8704000000,0,1591000000,6311000000,21165000000,0,41240000000,2750000000,2044000000,862000000,612000000,6545000000,11951000000,13701000000,364000000,1713000000,3561000000,19339000000,0,0,31290000000,0,0,9822000000,9950000000,9950000000,41240000000,5298000000,15745000000,8629000000,,,,,
2020,6707000000,4507000000,11214000000,4003000000,2598000000,704000000,18519000000,3711000000,6323000000,1653000000,7976000000,0,1351000000,4037000000,17075000000,0,35594000000,2248000000,500000000,549000000,568000000,5356000000,8672000000,15226000000,761000000,1872000000,2986000000,20845000000,0,0,29517000000,0,586000000,5284000000,6077000000,6077000000,35594000000,4507000000,15726000000,9019000000,,,,,
2019,11839000000,421000000,12260000000,2471000000,1400000000,634000000,16765000000,3081000000,6282000000,2172000000,8454000000,0,1196000000,3461000000,16192000000,0,32957000000,1368000000,2496000000,480000000,565000000,4506000000,8935000000,13437000000,1160000000,2088000000,2428000000,19113000000,0,0,28048000000,0,343000000,4466000000,4909000000,4909000000,32957000000,421000000,15933000000,4094000000,,,,,
