calendarYear,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,totalStockholdersEquity,totalEquity,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,netIncome,dividendsPaid,capitalExpenditure,netPPE,acquisitionsAndAdjustments
2023,2083500000,14700000,2083500000,3009600000,36333600000,743900000,42170600000,1083800000,2339400000,1343600000,3683000000,-73600000,73600000,4033600000,8800400000,0,50971000000,96800000,3838200000,44200000,188600000,38644000000,42767600000,3338900000,348100000,73600000,933700000,4694300000,0,349900000,47461900000,0,63900000,22118000000,3509100000,3509100000,50971000000,-73600000,3338900000,1255400000,776700000.0,-517500000.0,-140900000.0,1120200000.0,3700000.0
2022,1436300000,0,1436300000,3170600000,0,50198000000,54804900000,1103500000,2300500000,1333100000,3633600000,0,67000000,3459200000,8263300000,0,63068200000,110200000,136400000,38400000,188200000,54723900000,55158700000,3358000000,335000000,67000000,924200000,4684200000,0,370900000,59842900000,0,63900000,20696300000,3225300000,3225300000,63068200000,0,3494400000,2058100000,,,,,
2021,2575200000,0,2575200000,2727400000,34905800000,533400000,40741800000,1146700000,2338400000,1210100000,3548500000,-482900000,482900000,3335500000,8030700000,0,48772500000,141100000,23500000,58200000,203900000,37726300000,38094800000,3328200000,362400000,482900000,834100000,5007600000,0,343200000,43102400000,0,63900000,19451100000,5670100000,5670100000,48772500000,-482900000,3328200000,753000000,,,,,
2020,1908500000,0,1908500000,2441300000,26708100000,506200000,31564100000,1197600000,2309400000,1215800000,3525200000,-731900000,731900000,2878600000,7601400000,0,39165500000,102000000,1001800000,40100000,212500000,28810300000,30126600000,1347200000,370600000,731900000,837000000,3286700000,0,344400000,33413300000,0,63900000,18436300000,5752200000,5752200000,39165500000,-731900000,2349000000,440500000,,,,,
2019,1949200000,0,1949200000,2439300000,0,29953800000,34342300000,764200000,2323000000,1071500000,3394500000,-659900000,659900000,3386700000,7545400000,0,41887700000,125500000,262000000,54800000,220700000,32019500000,32627700000,2002200000,399300000,659900000,798700000,3860100000,0,0,36487800000,0,63900000,17500600000,5399900000,5399900000,41887700000,-659900000,2002200000,53000000,,,,,
