calendarYear,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,totalStockholdersEquity,totalEquity,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,netIncome,dividendsPaid,capitalExpenditure,netPPE,acquisitionsAndAdjustments
2023,73387000000,13393000000,86780000000,52253000000,33318000000,0,172351000000,276690000000,22789000000,0,22789000000,0,0,56024000000,355503000000,0,527854000000,84981000000,0,0,15227000000,64709000000,164917000000,135611000000,0,0,25451000000,161062000000,0,77297000000,325979000000,0,109000000,113618000000,201875000000,201875000000,527854000000,13393000000,135611000000,62224000000,10624000000.0,0.0,-14588000000.0,277458000000.0,40000000.0
2022,53888000000,16138000000,70026000000,42360000000,34405000000,0,146791000000,252838000000,20288000000,0,20288000000,0,0,42758000000,315884000000,0,462675000000,79600000000,0,0,13227000000,62566000000,155393000000,140118000000,0,0,21121000000,161239000000,0,72968000000,316632000000,0,108000000,83193000000,146043000000,146043000000,462675000000,16138000000,140118000000,86230000000,,,,,
2021,36220000000,59829000000,96049000000,32891000000,32640000000,0,161580000000,216363000000,15371000000,5107000000,15371000000,0,0,27235000000,258969000000,0,420549000000,78664000000,0,0,11827000000,51775000000,142266000000,116395000000,0,0,23643000000,140038000000,0,67651000000,282304000000,0,5000000,85915000000,138245000000,138245000000,420549000000,59829000000,116395000000,80175000000,,,,,
2020,42122000000,42274000000,84396000000,24542000000,23795000000,0,132733000000,150667000000,15017000000,4981000000,15017000000,0,0,22778000000,188462000000,0,321195000000,72539000000,0,0,9708000000,44138000000,126385000000,84389000000,0,0,17017000000,101406000000,0,52573000000,227791000000,0,5000000,52551000000,93404000000,93404000000,321195000000,42274000000,84389000000,42267000000,,,,,
2019,36092000000,18929000000,55021000000,20816000000,20497000000,0,96334000000,97846000000,14754000000,4049000000,14754000000,0,0,16314000000,128914000000,0,225248000000,47183000000,0,0,8190000000,32439000000,87812000000,63205000000,0,0,12171000000,75376000000,0,39791000000,163188000000,0,5000000,31220000000,62060000000,62060000000,225248000000,18929000000,63205000000,27113000000,,,,,
