calendarYear,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,totalStockholdersEquity,totalEquity,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,netIncome,dividendsPaid,capitalExpenditure,netPPE,acquisitionsAndAdjustments
2022,7378000000,2244000000,9622000000,4783000000,0,456000000,14861000000,259000000,650000000,34000000,684000000,0,0,234000000,1177000000,0,16038000000,137000000,59000000,418000000,1182000000,6600000000,7978000000,2282000000,0,0,218000000,2500000000,0,354000000,10478000000,0,0,-5965000000,5560000000,5560000000,16038000000,2244000000,2341000000,-5037000000,319000000.0,0.0,-8394000.0,254446000.0,3473000.0
2021,6067438000,2255038000,8322476000,3715471000,14764000,333669000,12386380000,428621000,652602000,52308000,704910000,0,0,188563000,1322094000,0,13708474000,118361000,63479000,334728000,5273714000,903728000,6359282000,2355020000,0,0,218459000,2573479000,0,435962000,8932761000,0,63000,-6357741000,4775713000,4775713000,13708474000,2255038000,2418499000,-3648939000,,,,,
2020,5480557000,910700000,6391257000,2181329000,33846000,309954000,8916386000,654262000,655801000,75886000,731687000,0,0,189164000,1575113000,0,10491499000,79898000,56586000,165257000,4595400000,407895000,5139779000,2246467000,0,0,203470000,2449937000,0,487491000,7589716000,10491499000,60000,-6005707000,2901783000,2901783000,10491499000,910700000,2303053000,-3177504000,,,,,
2019,2013547000,1060726000,3074273000,3145457000,115000,341598000,6561443000,686867000,652088000,102912000,755000000,0,0,306809000,1748676000,0,8310119000,151417000,38022000,207462000,3962906000,1081419000,5233764000,381374000,0,0,3502666000,3884040000,0,419396000,9117804000,0,26000,-1420991000,-807685000,-807685000,8310119000,1060726000,419396000,-1594151000,,,,,
2018,2140877000,1188431000,3329308000,2305011000,0,240213000,5874532000,309408000,289861000,28756000,318617000,0,0,110532000,738557000,0,6613089000,70630000,0,159901000,0,3665380000,3736010000,0,0,0,3394387000,3394387000,0,0,7130397000,0,26000,-768888000,-517308000,-517308000,6613089000,1188431000,0,-2140877000,,,,,
