calendarYear,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,totalStockholdersEquity,totalEquity,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,netIncome,dividendsPaid,capitalExpenditure,netPPE,acquisitionsAndAdjustments
2023,13700000000,1534000000,15234000000,2285000000,16651000000,1709000000,35879000000,29397000000,0,0,0,0,0,3718000000,33115000000,0,68994000000,17483000000,1081000000,0,8765000000,6254000000,33583000000,7803000000,0,0,2550000000,10353000000,0,2426000000,43936000000,0,2000000,19521000000,25058000000,25058000000,68994000000,1534000000,8884000000,-4816000000,2160000000.0,-452000000.0,-1556000000.0,30265000000.0,0.0
2022,10203000000,846000000,11049000000,2241000000,17907000000,1499000000,32696000000,27420000000,0,0,0,0,0,4050000000,31470000000,0,64166000000,17848000000,73000000,0,0,14077000000,31998000000,8966000000,0,0,2555000000,11521000000,0,2482000000,43519000000,0,2000000,15585000000,20642000000,20647000000,64166000000,846000000,9039000000,-1164000000,,,,,
2021,11258000000,917000000,12175000000,1803000000,14215000000,1312000000,29505000000,26382000000,0,0,0,0,0,3381000000,29763000000,0,59268000000,16278000000,799000000,0,7803000000,4561000000,29441000000,9334000000,0,0,2415000000,11749000000,0,2642000000,41190000000,0,4000000,11666000000,17564000000,18078000000,59268000000,917000000,10133000000,-1125000000,,,,,
2020,12277000000,1028000000,13305000000,1550000000,12242000000,1023000000,28120000000,24595000000,0,0,0,0,0,2841000000,27436000000,0,55556000000,14172000000,95000000,0,6849000000,3728000000,24844000000,10072000000,0,0,1935000000,12007000000,0,2558000000,36851000000,0,4000000,12879000000,18284000000,18705000000,55556000000,1028000000,10167000000,-2110000000,,,,,
2019,8384000000,1060000000,9444000000,1535000000,11395000000,1111000000,23485000000,20890000000,0,0,0,0,0,1025000000,21915000000,0,45400000000,11679000000,1699000000,0,6067000000,3792000000,23237000000,5124000000,0,0,1455000000,6579000000,0,0,29816000000,0,4000000,10258000000,15243000000,15584000000,45400000000,1060000000,6823000000,-1561000000,,,,,
