time,strategy,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-02-02 09:30:00-05:00,MLTrader,QCOM,buy,market,new,1,gtc,0.0,1,stock,,,
2024-02-02 09:30:00-05:00,MLTrader,QCOM,buy,market,fill,1,gtc,0.0,1,stock,140.64999389648438,355.49,0.0
