datetime,portfolio_value,cash,return
2024-01-02 09:30:00-05:00,100000.0,100000.0,
2024-01-03 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-04 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-05 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-06 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-08 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-09 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-10 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-11 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-12 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-13 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-16 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-17 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-18 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-19 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-20 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-22 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-23 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-24 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-25 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-26 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-27 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-29 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-30 09:30:00-05:00,100000.0,100000.0,0.0
2024-01-31 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-01 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-02 09:30:00-05:00,100000.0,100000.0,0.0
2024-02-03 09:30:00-05:00,100000.0,50000.33366973877,0.0
2024-02-05 09:30:00-05:00,100430.14528671265,50000.33366973877,0.004301452867126576
2024-02-06 09:30:00-05:00,101368.63866973878,50000.33366973877,0.009344737880711662
2024-02-07 09:30:00-05:00,101603.26337158203,50000.33366973877,0.0023145689329779895
2024-02-08 09:30:00-05:00,102204.04233947754,50000.33366973877,0.005912988893854276
2024-02-09 09:30:00-05:00,102968.34366973877,50000.33366973877,0.0074781908109127215
2024-02-10 09:30:00-05:00,102968.34366973877,50000.33366973877,0.0
2024-02-12 09:30:00-05:00,103458.92160552979,50000.33366973877,0.004764356872287934
2024-02-13 09:30:00-05:00,103323.83366973877,50000.33366973877,-0.0013057156762766864
